Title,Country,Date,Time,Impact,Forecast,Previous,URL
S&P/CS Composite-20 HPI y/y,USD,08-26-2025,1:00pm,Low,2.1%,2.8%,https://www.forexfactory.com/calendar/240-us-spcs-composite-20-hpi-yy
Richmond Manufacturing Index,USD,08-26-2025,1:59pm,Medium,-11,-20,https://www.forexfactory.com/calendar/186-us-richmond-manufacturing-index
MPC Member Mann Speaks,GBP,08-26-2025,2:00pm,Low,,,https://www.forexfactory.com/calendar/848-uk-mpc-member-mann-speaks
CB Consumer Confidence,USD,08-26-2025,2:00pm,Medium,96.4,97.2,https://www.forexfactory.com/calendar/208-us-cb-consumer-confidence
BOC Gov Macklem Speaks,CAD,08-26-2025,6:30pm,High,,,https://www.forexfactory.com/calendar/840-ca-boc-gov-macklem-speaks
API Weekly Statistical Bulletin,USD,08-26-2025,8:30pm,Low,,,https://www.forexfactory.com/calendar/754-us-api-weekly-statistical-bulletin
MI Leading Index m/m,AUD,08-27-2025,12:30am,Low,,0.0%,https://www.forexfactory.com/calendar/303-au-mi-leading-index-mm
CPI y/y,AUD,08-27-2025,1:30am,High,2.3%,1.9%,https://www.forexfactory.com/calendar/888-au-cpi-yy
Construction Work Done q/q,AUD,08-27-2025,1:30am,Low,1.0%,0.0%,https://www.forexfactory.com/calendar/213-au-construction-work-done-qq
German GfK Consumer Climate,EUR,08-27-2025,6:00am,Low,-21.5,-21.5,https://www.forexfactory.com/calendar/335-ge-gfk-consumer-climate
UBS Economic Expectations,CHF,08-27-2025,8:00am,Low,,2.4,https://www.forexfactory.com/calendar/315-sz-ubs-economic-expectations
CBI Realized Sales,GBP,08-27-2025,10:00am,Low,-26,-34,https://www.forexfactory.com/calendar/329-uk-cbi-realized-sales
CB Leading Index m/m,CNY,08-27-2025,1:00pm,Low,,-0.2%,https://www.forexfactory.com/calendar/495-ch-cb-leading-index-mm
Crude Oil Inventories,USD,08-27-2025,2:30pm,Low,-1.7M,-6.0M,https://www.forexfactory.com/calendar/10-us-crude-oil-inventories
FOMC Member Barkin Speaks,USD,08-27-2025,3:55pm,Low,,,https://www.forexfactory.com/calendar/728-us-fomc-member-barkin-speaks
ANZ Business Confidence,NZD,08-28-2025,1:00am,Low,,47.8,https://www.forexfactory.com/calendar/319-nz-anz-business-confidence
Private Capital Expenditure q/q,AUD,08-28-2025,1:30am,Low,0.8%,-0.1%,https://www.forexfactory.com/calendar/381-au-private-capital-expenditure-qq
GDP q/q,CHF,08-28-2025,7:00am,Medium,0.1%,0.5%,https://www.forexfactory.com/calendar/32-sz-gdp-qq
KOF Economic Barometer,CHF,08-28-2025,7:00am,Low,97.9,101.1,https://www.forexfactory.com/calendar/301-sz-kof-economic-barometer
M3 Money Supply y/y,EUR,08-28-2025,8:00am,Low,3.5%,3.3%,https://www.forexfactory.com/calendar/375-ez-m3-money-supply-yy
Private Loans y/y,EUR,08-28-2025,8:00am,Low,2.4%,2.2%,https://www.forexfactory.com/calendar/365-ez-private-loans-yy
Italian 10-y Bond Auction,EUR,08-28-2025,9:09am,Low,,3.52|1.6,https://www.forexfactory.com/calendar/524-it-10-y-bond-auction
ECB Monetary Policy Meeting Accounts,EUR,08-28-2025,11:30am,Low,,,https://www.forexfactory.com/calendar/613-ez-ecb-monetary-policy-meeting-accounts
Current Account,CAD,08-28-2025,12:30pm,Low,-18.8B,-2.1B,https://www.forexfactory.com/calendar/196-ca-current-account
Prelim GDP q/q,USD,08-28-2025,12:30pm,High,3.1%,3.0%,https://www.forexfactory.com/calendar/27-us-prelim-gdp-qq
Unemployment Claims,USD,08-28-2025,12:30pm,High,231K,235K,https://www.forexfactory.com/calendar/11-us-unemployment-claims
Prelim GDP Price Index q/q,USD,08-28-2025,12:30pm,Medium,2.0%,2.0%,https://www.forexfactory.com/calendar/45-us-prelim-gdp-price-index-qq
Pending Home Sales m/m,USD,08-28-2025,2:00pm,Medium,-0.4%,-0.8%,https://www.forexfactory.com/calendar/233-us-pending-home-sales-mm
Natural Gas Storage,USD,08-28-2025,2:30pm,Low,27B,13B,https://www.forexfactory.com/calendar/26-us-natural-gas-storage
FOMC Member Waller Speaks,USD,08-28-2025,10:30pm,Medium,,,https://www.forexfactory.com/calendar/839-us-fomc-member-waller-speaks
Tokyo Core CPI y/y,JPY,08-28-2025,11:30pm,Medium,2.5%,2.9%,https://www.forexfactory.com/calendar/175-jn-tokyo-core-cpi-yy
Unemployment Rate,JPY,08-28-2025,11:30pm,Low,2.5%,2.5%,https://www.forexfactory.com/calendar/63-jn-unemployment-rate
Prelim Industrial Production m/m,JPY,08-28-2025,11:50pm,Low,-1.1%,1.7%,https://www.forexfactory.com/calendar/225-jn-prelim-industrial-production-mm
Retail Sales y/y,JPY,08-28-2025,11:50pm,Low,1.6%,2.0%,https://www.forexfactory.com/calendar/115-jn-retail-sales-yy
Private Sector Credit m/m,AUD,08-29-2025,1:30am,Low,0.6%,0.6%,https://www.forexfactory.com/calendar/344-au-private-sector-credit-mm
Consumer Confidence,JPY,08-29-2025,5:00am,Low,34.2,33.7,https://www.forexfactory.com/calendar/212-jn-consumer-confidence
Housing Starts y/y,JPY,08-29-2025,5:00am,Low,-9.9%,-15.6%,https://www.forexfactory.com/calendar/228-jn-housing-starts-yy
German Import Prices m/m,EUR,08-29-2025,6:00am,Low,-0.3%,0.0%,https://www.forexfactory.com/calendar/257-ge-import-prices-mm
German Retail Sales m/m,EUR,08-29-2025,6:00am,Low,0.0%,1.0%,https://www.forexfactory.com/calendar/107-ge-retail-sales-mm
German Prelim CPI m/m,EUR,08-29-2025,6:29am,Medium,0.0%,0.3%,https://www.forexfactory.com/calendar/169-ge-prelim-cpi-mm
French Consumer Spending m/m,EUR,08-29-2025,6:45am,Low,-0.3%,0.6%,https://www.forexfactory.com/calendar/357-fr-consumer-spending-mm
French Final Private Payrolls q/q,EUR,08-29-2025,6:45am,Low,0.0%,0.0%,https://www.forexfactory.com/calendar/71-fr-final-private-payrolls-qq
French Prelim CPI m/m,EUR,08-29-2025,6:45am,Low,0.5%,0.2%,https://www.forexfactory.com/calendar/556-fr-prelim-cpi-mm
French Prelim GDP q/q,EUR,08-29-2025,6:45am,Low,0.3%,0.3%,https://www.forexfactory.com/calendar/39-fr-prelim-gdp-qq
Spanish Flash CPI y/y,EUR,08-29-2025,7:00am,Medium,2.8%,2.7%,https://www.forexfactory.com/calendar/592-sp-flash-cpi-yy
German Unemployment Change,EUR,08-29-2025,7:55am,Low,10K,2K,https://www.forexfactory.com/calendar/60-ge-unemployment-change
Italian Prelim CPI m/m,EUR,08-29-2025,9:00am,Low,0.2%,0.4%,https://www.forexfactory.com/calendar/172-it-prelim-cpi-mm
GDP m/m,CAD,08-29-2025,12:30pm,High,0.1%,-0.1%,https://www.forexfactory.com/calendar/29-ca-gdp-mm
Core PCE Price Index m/m,USD,08-29-2025,12:30pm,High,0.3%,0.3%,https://www.forexfactory.com/calendar/85-us-core-pce-price-index-mm
Goods Trade Balance,USD,08-29-2025,12:30pm,Low,-90.2B,-86.0B,https://www.forexfactory.com/calendar/625-us-goods-trade-balance
Personal Income m/m,USD,08-29-2025,12:30pm,Low,0.4%,0.3%,https://www.forexfactory.com/calendar/360-us-personal-income-mm
Personal Spending m/m,USD,08-29-2025,12:30pm,Low,0.5%,0.3%,https://www.forexfactory.com/calendar/356-us-personal-spending-mm
Prelim Wholesale Inventories m/m,USD,08-29-2025,12:30pm,Low,0.1%,0.2%,https://www.forexfactory.com/calendar/642-us-prelim-wholesale-inventories-mm
Chicago PMI,USD,08-29-2025,1:45pm,Low,46.6,47.1,https://www.forexfactory.com/calendar/189-us-chicago-pmi
Revised UoM Consumer Sentiment,USD,08-29-2025,2:00pm,Medium,58.7,58.6,https://www.forexfactory.com/calendar/54-us-revised-uom-consumer-sentiment
Revised UoM Inflation Expectations,USD,08-29-2025,2:00pm,Low,,4.9%,https://www.forexfactory.com/calendar/238-us-revised-uom-inflation-expectations
Manufacturing PMI,CNY,08-31-2025,1:30am,High,49.5,49.3,https://www.forexfactory.com/calendar/449-ch-manufacturing-pmi
Non-Manufacturing PMI,CNY,08-31-2025,1:30am,Medium,50.3,50.1,https://www.forexfactory.com/calendar/520-ch-non-manufacturing-pmi
